Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,2-Feb,2-Jan,3-Jan,2-Feb,1-Mar,1-Jan,0-2,2-Jan,1-Jan,1-Jan,Apr-00,1-Jan,1-Jan,Feb-00,3-Jan,1-Feb,Feb-00,1-Jan,3-Jan,Feb-00,1-Mar,2-Jan,1-Jan,1-Jan,Feb-00,1-Jan,3-Jan,0-2,1-Mar
2,Boston Celtics,2-Feb,,1-Mar,1-Feb,1-Mar,1-Feb,0-2,Feb-00,1-Mar,1-Jan,Feb-00,1-Mar,0-2,1-Jan,Feb-00,1-Feb,2-Feb,1-Jan,Feb-00,2-Feb,Feb-00,Mar-00,2-Feb,1-Jan,1-Jan,Feb-00,0-2,2-Feb,1-Jan,2-Feb
3,Brooklyn Nets,1-Feb,3-Jan,,2-Jan,2-Jan,1-Mar,1-Jan,0-2,Apr-00,0-2,1-Jan,Mar-00,1-Jan,1-Jan,0-2,3-Jan,3-Jan,1-Jan,Feb-00,Apr-00,1-Jan,1-Mar,1-Mar,0-2,1-Jan,1-Jan,Feb-00,2-Feb,1-Jan,2-Feb
4,Chicago Bulls,1-Mar,2-Jan,1-Feb,,1-Feb,1-Mar,1-Jan,Feb-00,Apr-00,0-2,1-Jan,1-Mar,Feb-00,Feb-00,0-2,0-4,0-4,Feb-00,1-Jan,2-Feb,Feb-00,1-Mar,0-4,0-2,1-Jan,1-Jan,1-Jan,1-Mar,1-Jan,Mar-00
5,Charlotte Hornets,2-Feb,3-Jan,1-Feb,2-Jan,,2-Feb,1-Jan,1-Jan,1-Feb,1-Jan,1-Jan,Apr-00,0-2,1-Jan,1-Jan,0-4,2-Feb,1-Jan,Feb-00,1-Mar,Feb-00,1-Mar,3-Jan,0-2,1-Jan,1-Jan,Feb-00,2-Jan,1-Jan,1-Mar
6,Cleveland Cavaliers,3-Jan,2-Jan,3-Jan,3-Jan,2-Feb,,1-Jan,Feb-00,2-Feb,0-2,1-Jan,Apr-00,Feb-00,0-2,0-2,1-Feb,1-Mar,1-Jan,1-Jan,Mar-00,Feb-00,1-Feb,0-4,0-2,Feb-00,Feb-00,Feb-00,1-Mar,1-Jan,2-Feb
7,Dallas Mavericks,1-Jan,Feb-00,1-Jan,1-Jan,1-Jan,1-Jan,,1-Feb,Feb-00,1-Mar,Apr-00,1-Jan,2-Feb,1-Feb,1-Mar,1-Jan,1-Jan,2-Feb,1-Mar,0-2,1-Mar,1-Jan,1-Jan,0-3,Mar-00,1-Mar,Apr-00,Feb-00,2-Feb,0-2
8,Denver Nuggets,Feb-00,0-2,Feb-00,0-2,1-Jan,0-2,2-Jan,,Feb-00,1-Mar,Mar-00,Feb-00,1-Mar,1-Feb,3-Jan,Feb-00,1-Jan,3-Jan,1-Mar,Feb-00,2-Feb,1-Jan,1-Jan,2-Jan,1-Mar,Apr-00,2-Feb,1-Jan,0-4,Feb-00
9,Detroit Pistons,1-Feb,3-Jan,0-4,0-4,2-Jan,2-Feb,0-2,0-2,,0-2,1-Jan,1-Mar,0-2,0-2,0-2,3-Jan,3-Jan,0-2,0-2,0-3,1-Jan,1-Mar,3-Jan,0-2,0-2,1-Jan,1-Jan,Mar-00,1-Jan,0-4
10,Golden State Warriors,1-Jan,1-Jan,Feb-00,Feb-00,1-Jan,Feb-00,3-Jan,3-Jan,Feb-00,,Mar-00,1-Jan,1-Mar,1-Mar,3-Jan,Feb-00,1-Jan,2-Feb,1-Feb,1-Jan,Mar-00,1-Jan,1-Jan,2-Feb,Mar-00,Apr-00,2-Feb,1-Jan,1-Mar,1-Jan
